customer_id,age,gender,marital_status,dependents_count,employment_type,occupation,education_level,city_tier,yearly_income,account_age_months,initial_credit_score,existing_loans_count,existing_loan_monthly_EMI_total,total_credit_limit,initial_credit_utilization_ratio,initial_avg_monthly_balance,initial_savings_rate,has_existing_auto_loan,has_existing_investment_account,txn_count_last_30d,high_value_txn_count_30d,bounced_txn_count,final_avg_monthly_balance,monthly_fuel_spend,monthly_transport_service_spend,avg_monthly_investment_debit,final_credit_score,dti_ratio,savings_rate,income_to_limit,txn_intensity,age_x_dependents,score_x_log_income,opted_home_loan,opted_car_loan,recommend_nifty50,recommend_elss
CUST_000010,44,Female,Married,3,Self-Employed,Trader,Graduate,tier2,3113934.63,23,751,2,59585.67,1238731.78,0.7,91265.64,0.37,1,1,125,4,0,491484.2116312106,33131.80586895047,3975.078054673482,12591.193690402755,761,0.2296211608482191,1.8939985941809565,2.513806593541506,0.4001364138659969,132,11378.013847559952,1,1,0,0
CUST_000014,52,Male,Married,1,Salaried,Govt. Employee,Graduate,tier3,1646955.55,204,830,2,30487.8,588581.73,0.3,50998.47,0.39,0,1,108,4,0,242787.81421251487,22464.32805872375,1616.562037281095,4615.59401751535,837,0.2221377099992043,1.768980676364983,2.798171720057094,0.6517978107499625,52,11981.185968227925,1,1,0,1
CUST_000019,33,Male,Single,0,Salaried,Teacher,Graduate,tier2,1150095.95,162,762,0,27310.01,971890.56,0.41,11645.66,0.14,0,0,141,4,0,77646.86167887118,6706.951119937487,14762.413382391898,2943.2436156081785,769,0.2849472695150051,0.8101520732436066,1.1833583059410453,1.215416707557681,0,10731.66938007193,1,1,1,1
CUST_000022,30,Male,Married,1,Salaried,Product Manager,Post-Graduate,tier1,2465173.82,62,716,1,56515.24,2150958.12,0.25,60015.82,0.26,1,1,149,4,0,340236.0228417492,16442.91930134722,2465.2264970675365,24089.18948655295,726,0.2751041623304486,1.656196559698283,1.146081204927781,0.6019779249281169,30,10685.103404065412,1,0,0,0
CUST_000023,41,Female,Married,1,Salaried,Sales Rep,Under-Graduate,tier3,699190.58,183,606,2,30155.35,395598.46,0.66,2036.81,0.07,0,0,210,1,116,8771.519999379123,3995.393961837881,28412.544097162805,0.0,611,0.5175384221265317,0.1505404056039803,1.767420461089608,2.961122241640604,41,8222.6425172202,0,1,0,0
CUST_000041,33,Female,Married,1,Salaried,Product Manager,Post-Graduate,tier1,2513193.97,83,753,3,58833.94,1712268.63,0.17,50567.89,0.26,1,1,159,4,0,333537.1785843034,20803.9025100081,2346.5377660173635,16297.690690906786,760,0.2809189889040411,1.592565906172681,1.4677559690175668,0.6301536936536036,33,11200.169702538133,1,1,0,1
CUST_000053,44,Female,Married,3,Self-Employed,Trader,Graduate,tier2,2601662.62,174,759,2,43659.07,1291615.53,0.42,75103.66,0.35,1,1,124,4,0,439413.0438747494,30365.058896807743,1665.463440657085,10822.386938489715,766,0.2013736982989825,2.0267548009124186,2.0142686002942374,0.4747933329918394,132,11315.092825599502,1,1,0,0
CUST_000055,33,Female,Married,0,Salaried,Data Scientist,Post-Graduate,tier1,2305822.37,44,736,2,54915.95,1999524.05,0.51,55021.6,0.29,1,1,140,4,0,300818.413974833,13568.4930427136,4320.322264101848,19350.9024618121,744,0.28579303378152,1.5655161596441969,1.153185037616808,0.6045368669618646,0,10900.305595494194,1,1,0,0
CUST_000056,32,Female,Married,0,Salaried,Product Manager,Post-Graduate,tier1,2171129.36,48,735,2,46562.18,877076.18,0.24,53606.92,0.28,1,1,161,4,0,288300.6159248477,24182.70986859571,2324.5636961983887,17505.80901420829,743,0.2573513499830338,1.5934510091494791,2.4754142617186776,0.7381497079109512,0,10840.93356038776,1,1,0,1
CUST_000063,32,Female,Married,1,Salaried,Data Scientist,Post-Graduate,tier1,2643033.42,36,748,0,73174.35,1700632.97,0.76,45924.48,0.25,1,1,159,4,0,334550.8473512801,11549.14104278416,4883.82700586936,22698.251066354384,757,0.3322274348202461,1.5189334764498148,1.5541459635785118,0.5993139732103338,32,11194.090729952166,1,1,0,0
CUST_000065,26,Female,Single,1,Salaried,Teacher,Graduate,tier1,1246651.01,27,745,0,21250.23,663908.44,0.27,14004.09,0.13,0,0,122,4,0,147798.87225026835,6421.727150249832,13907.060223989773,782.1678621540411,752,0.2045482684209905,1.4226671143497072,1.8777425577801696,0.970834376681876,26,10555.05103722469,1,1,1,1
CUST_000068,30,Male,Single,0,Salaried,Architect,Post-Graduate,tier2,2214033.13,22,786,3,28180.32,1399437.72,0.18,64119.93,0.3,0,1,170,4,0,352695.237738572,7520.655234019468,27738.90384363325,16919.37562822585,792,0.1527357484352633,1.9115883391513635,1.5820865168001068,0.7643771026018844,0,11571.378831674156,1,1,0,1
CUST_000073,32,Female,Married,0,Salaried,Product Manager,Post-Graduate,tier1,2615724.04,147,735,1,60806.18,1932331.64,0.53,54224.44,0.29,1,1,143,4,0,391386.3375289483,18088.48857380092,3373.775656915947,19800.494032060866,743,0.2789555784076745,1.7955313451075057,1.3536613654675935,0.5446116873729046,0,10979.349546098085,1,1,0,1
CUST_000075,38,Female,Single,0,Salaried,Architect,Post-Graduate,tier2,1650417.23,58,745,0,32085.84,798493.33,0.23,39578.65,0.31,0,1,170,4,0,181183.8461956781,8470.272290635969,16199.929780366074,11134.7642499768,753,0.2332908754894022,1.317358002892458,2.0669116460726777,1.023839050381331,0,10780.354082723396,1,1,0,1
CUST_000078,29,Female,Married,0,Salaried,Data Scientist,Post-Graduate,tier1,2383581.09,131,797,3,60296.4,1374046.1,0.54,51398.11,0.24,1,1,156,4,0,304269.52422779065,18847.934937487447,1950.677514848564,21139.18657858429,804,0.3035571813979374,1.53181946450998,1.7347157095269876,0.6517431168375416,0,11806.028455161631,1,1,0,0
CUST_000090,38,Female,Single,0,Salaried,HR Manager,Post-Graduate,tier1,1670765.18,29,769,1,34155.69,1406477.75,0.3,34325.49,0.31,0,1,170,4,0,191985.0649261201,6772.56961732456,17237.342411998492,12569.571062312774,774,0.2453159433264464,1.3788916958474626,1.1879064507728965,1.011444085246935,0,11090.485681070364,1,1,0,1
CUST_000098,28,Male,Married,0,Salaried,Software Engineer,Post-Graduate,tier1,1873196.79,112,780,2,32094.0,1201849.99,0.72,35443.28,0.27,1,1,136,4,0,257454.51990276572,16384.694687231393,4784.26697468448,13007.100544452953,787,0.2055980102463644,1.649284508660238,1.558593207964991,0.7221762522226899,0,11366.765012698854,1,1,0,1
CUST_000099,38,Male,Single,0,Salaried,HR Manager,Post-Graduate,tier2,2156245.89,193,772,1,25668.37,1199534.19,0.1,59737.13,0.28,0,1,175,4,0,316054.48268536985,12883.04039336987,19037.020270588648,21784.10337761513,781,0.1428495364253484,1.758905467575791,1.7975678479261623,0.8078491957346541,0,11390.010059322143,1,1,0,0
CUST_000106,30,Male,Single,0,Salaried,HR Manager,Post-Graduate,tier1,1698567.1,68,774,1,31894.57,1118328.53,0.29,47839.78,0.32,0,1,170,4,0,206696.9016735182,11650.415166971514,17708.815916871717,17140.66664129482,780,0.2253264743455279,1.460257470542419,1.5188431087928085,0.994985798333586,0,11189.331004784235,1,1,0,0
CUST_000110,30,Female,Single,0,Salaried,HR Manager,Post-Graduate,tier1,1617338.21,90,765,2,20034.06,853107.8,0.21,32476.36,0.33,0,1,161,4,0,213491.07617653272,9376.727578291164,12494.366038294002,19148.45549864889,772,0.1486435767056289,1.5840062951600276,1.89581705170548,0.9893456628170736,0,11036.738114109745,1,1,0,0
CUST_000116,31,Female,Single,0,Salaried,Teacher,Graduate,tier2,1228579.84,91,672,2,17047.73,878775.76,0.18,10873.56,0.2,0,0,128,4,0,140544.12944163868,6519.353345941829,16016.082802980016,1788.239046701055,683,0.1665099452394214,1.3727338066152743,1.398056817069218,1.0334416552428305,0,9576.595896188668,0,0,0,1
CUST_000117,28,Male,Single,0,Salaried,Analyst,Graduate,tier1,800479.16,26,759,3,8520.61,303080.01,0.32,12995.39,0.14,0,0,164,1,1,47841.94935404383,2746.4019298032745,20008.22215209233,5207.187377241943,770,0.1277307297184893,0.71718892217189,2.641139278241154,2.023494348701082,0,10466.584610483606,1,1,1,1
CUST_000118,27,Female,Married,1,Salaried,Product Manager,Post-Graduate,tier1,2634761.54,25,778,1,65700.58,1353404.73,0.66,64653.11,0.23,1,1,156,4,0,350768.8429126665,10091.728737304156,2938.727780618743,16815.332062036323,787,0.2992313942852181,1.5975665654179896,1.946763990721393,0.5898452379944998,27,11635.246947562517,1,1,0,1
CUST_000126,32,Male,Married,1,Salaried,Data Scientist,Post-Graduate,tier1,1880458.79,101,743,2,32554.01,1026481.89,0.67,35679.03,0.26,1,1,156,4,0,239190.819032133,20384.10520229872,1931.136364507357,13979.710892844076,753,0.2077395310139329,1.5263676753977105,1.831943628402808,0.8251965122180738,32,10878.611236161842,1,1,0,1
CUST_000127,28,Female,Single,0,Salaried,Junior Software Engineer,Graduate,tier1,914704.98,63,725,3,10759.77,704455.6,0.58,10261.49,0.15,0,0,177,4,0,66426.45929441086,1276.8069526871848,17834.29255189649,4806.019376849249,732,0.1411553986895487,0.8714362244952863,1.298454695434751,1.9141240052584123,0,10047.694026197138,0,1,1,1
CUST_000129,50,Male,Married,1,Self-Employed,Business Owner,Graduate,tier2,2748970.28,367,671,0,48872.52,1347279.7,0.69,75317.88,0.27,1,1,118,4,0,447661.556557328,17154.875279415024,1413.462806556498,8408.950809918282,677,0.2133408586395107,1.9541554406410857,2.040384219858564,0.427695799608251,50,10037.701165408043,1,0,0,0
CUST_000134,32,Female,Married,1,Salaried,Software Engineer,Post-Graduate,tier1,2081494.59,73,709,3,43457.09,907757.38,0.47,41013.04,0.24,1,1,137,4,0,258673.19799149348,12751.504448226851,2385.8497735667497,17746.009555765293,717,0.2505325145283349,1.4912652166515223,2.293005094593564,0.6550339678382816,32,10431.344211723508,1,0,0,0
CUST_000138,28,Male,Married,1,Salaried,Product Manager,Post-Graduate,tier1,2492514.47,47,751,0,60982.03,866156.73,0.65,48765.43,0.27,1,1,151,4,0,322507.4999181872,17026.45363812419,6540.925476230547,20648.43372825489,761,0.2935914096832038,1.5526775926348522,2.8776681009358427,0.6033931144462074,28,11208.619073425654,1,1,0,1
CUST_000139,29,Male,Married,0,Salaried,Software Engineer,Post-Graduate,tier1,2494241.08,77,774,1,57564.64,1213438.44,0.17,46221.12,0.27,1,1,153,4,0,314111.89428686514,11432.08487766426,4261.6014964596425,18449.50068974361,782,0.2769469086913987,1.5112110161020154,2.0555134420222902,0.6109635418966931,0,11518.465453995595,1,1,0,1
