client_id,num_cards,num_classic_cards,num_junior_cards,num_gold_cards,gold_card,classic_card,junior_card,earliest_card_issue,latest_card_issue,card_id,eligible_for
2,0,0,0,0,0,0,0,,,,junior_card
3,0,0,0,0,0,0,0,,,,junior_card
7,0,0,0,0,0,0,0,,,,junior_card
8,0,0,0,0,0,0,0,,,,junior_card
14,0,0,0,0,0,0,0,,,,junior_card
15,0,0,0,0,0,0,0,,,,junior_card
16,0,0,0,0,0,0,0,,,,junior_card
18,0,0,0,0,0,0,0,,,,junior_card
24,0,0,0,0,0,0,0,,,,junior_card
25,0,0,0,0,0,0,0,,,,junior_card
28,0,0,0,0,0,0,0,,,,junior_card
33,0,0,0,0,0,0,0,,,,junior_card
43,0,0,0,0,0,0,0,,,,junior_card
46,0,0,0,0,0,0,0,,,,junior_card
47,0,0,0,0,0,0,0,,,,junior_card
48,0,0,0,0,0,0,0,,,,junior_card
52,0,0,0,0,0,0,0,,,,junior_card
55,0,0,0,0,0,0,0,,,,junior_card
58,0,0,0,0,0,0,0,,,,junior_card
61,0,0,0,0,0,0,0,,,,junior_card
62,0,0,0,0,0,0,0,,,,junior_card
64,0,0,0,0,0,0,0,,,,junior_card
65,0,0,0,0,0,0,0,,,,junior_card
67,0,0,0,0,0,0,0,,,,junior_card
70,0,0,0,0,0,0,0,,,,junior_card
72,0,0,0,0,0,0,0,,,,junior_card
73,0,0,0,0,0,0,0,,,,junior_card
74,0,0,0,0,0,0,0,,,,junior_card
78,0,0,0,0,0,0,0,,,,junior_card
91,0,0,0,0,0,0,0,,,,junior_card
93,0,0,0,0,0,0,0,,,,junior_card
94,0,0,0,0,0,0,0,,,,junior_card
100,0,0,0,0,0,0,0,,,,junior_card
101,0,0,0,0,0,0,0,,,,junior_card
113,0,0,0,0,0,0,0,,,,junior_card
117,0,0,0,0,0,0,0,,,,junior_card
118,0,0,0,0,0,0,0,,,,junior_card
119,0,0,0,0,0,0,0,,,,junior_card
126,0,0,0,0,0,0,0,,,,junior_card
129,0,0,0,0,0,0,0,,,,junior_card
134,0,0,0,0,0,0,0,,,,junior_card
136,0,0,0,0,0,0,0,,,,junior_card
141,0,0,0,0,0,0,0,,,,junior_card
142,0,0,0,0,0,0,0,,,,junior_card
148,0,0,0,0,0,0,0,,,,junior_card
149,0,0,0,0,0,0,0,,,,junior_card
152,0,0,0,0,0,0,0,,,,junior_card
154,0,0,0,0,0,0,0,,,,junior_card
155,0,0,0,0,0,0,0,,,,junior_card
157,0,0,0,0,0,0,0,,,,junior_card
159,0,0,0,0,0,0,0,,,,junior_card
160,0,0,0,0,0,0,0,,,,junior_card
162,0,0,0,0,0,0,0,,,,junior_card
163,0,0,0,0,0,0,0,,,,junior_card
172,0,0,0,0,0,0,0,,,,junior_card
173,0,0,0,0,0,0,0,,,,junior_card
176,0,0,0,0,0,0,0,,,,junior_card
187,0,0,0,0,0,0,0,,,,junior_card
189,0,0,0,0,0,0,0,,,,junior_card
190,0,0,0,0,0,0,0,,,,junior_card
194,0,0,0,0,0,0,0,,,,junior_card
195,0,0,0,0,0,0,0,,,,junior_card
196,0,0,0,0,0,0,0,,,,junior_card
197,0,0,0,0,0,0,0,,,,junior_card
199,0,0,0,0,0,0,0,,,,junior_card
205,0,0,0,0,0,0,0,,,,junior_card
207,0,0,0,0,0,0,0,,,,junior_card
209,0,0,0,0,0,0,0,,,,junior_card
210,0,0,0,0,0,0,0,,,,junior_card
226,0,0,0,0,0,0,0,,,,junior_card
227,0,0,0,0,0,0,0,,,,junior_card
232,0,0,0,0,0,0,0,,,,junior_card
235,0,0,0,0,0,0,0,,,,junior_card
240,0,0,0,0,0,0,0,,,,junior_card
253,0,0,0,0,0,0,0,,,,junior_card
261,0,0,0,0,0,0,0,,,,junior_card
